target,mof_id,y_true_median,y_pred_median,y_pred_max,split_lower_median,split_lower_max,split_upper_median,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_models,n_seeds,n_splits,n_feature_sets,n_budgets,trusted_support,Density,Di,Df,Dif,filename,consensus_pass,consensus_score,consensus_score_percentile_within_target,true_percentile,pred_percentile,target_label_plain
CO2_0p015bar_298K_mmolg,DB1-Uio66Zr-irmof20_A_No13,1.503175973892212,2.229950321763754,4.318081659376621,1.885201433823608,4.071732716202736,2.457235219553113,0.4378541884720324,0.5897833333333333,0.6335333333333333,0.4799,29,4,4,5,2,5,29,1.2071,8.33703,1.87439,8.33703,DB1-Uio66Zr-irmof20_A_No13.cif,True,43.71523333333333,1.0,0.9910254112755815,0.9965485108060643,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB12-QADKAH_clean,2.5509541034698486,2.071023853132709,2.763348745048046,1.814385774254799,2.5595517,2.297054005052071,0.4418296635150907,0.5227,0.5229666666666667,0.47545,13,5,4,5,2,4,13,1.52919,4.77033,3.53305,4.76882,DB12-QADKAH_clean.cif,True,42.952983333333336,0.9999146174863388,0.997648829791047,0.9957922655101967,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB12-UHISOU_clean,3.183881998062134,2.0203553,4.682046,1.8003158520590627,4.5151224,2.2444137,0.3660332720061849,0.5096166666666666,0.4811333333333333,0.7336416666666666,18,5,4,4,2,5,18,1.23297,4.50899,3.25805,4.50899,DB12-UHISOU_clean.cif,True,42.27284166666666,0.9998292349726776,0.9988495036020214,0.9955377943442887,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB1-Zn2O8N2-irmof8_A-TePM_No124,6.2064409255981445,2.1061654,4.637994613364339,1.8680752386696329,4.428519,2.2844665,0.3877838829587425,0.5700666666666667,0.5472833333333333,0.6531,30,4,4,4,2,5,30,0.931586,5.20393,3.75614,4.98393,DB1-Zn2O8N2-irmof8_A-TePM_No124.cif,True,41.8082,0.9997438524590164,0.9999892476972152,0.9959786387584675,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB1-Zn2O8-irmof20_A-mof505_No13,5.5015082359313965,2.172524093536884,4.434634,1.986349515434784,4.2677107,2.358698571638984,0.3389930241391656,0.6587833333333333,0.59375,0.8424166666666666,14,4,5,5,1,4,14,0.689319,9.56278,9.22951,9.56278,DB1-Zn2O8-irmof20_A-mof505_No13.cif,True,41.80018333333333,0.9996584699453552,0.9999139815777213,0.9963119601447977,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB1-Zn2O8-AZO_A-DPAC_A_No751,1.1184149980545044,2.189111778839208,4.7607846,1.9761263775450468,4.556121,2.357867689341671,0.3655060704224347,0.6517999999999999,0.60765,0.7427583333333333,14,4,5,5,1,4,14,0.481306,15.27865,14.07542,15.13033,DB1-Zn2O8-AZO_A-DPAC_A_No751.cif,True,41.67245833333333,0.999573087431694,0.9834235332066951,0.9963908103652199,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB1-Zn2O8-irmof20_A-nott112_No13,5.6655378341674805,2.172524093536884,4.434634,1.986349515434784,4.2677107,2.358698571638984,0.3326907999999997,0.6587833333333333,0.59375,0.8652833333333334,12,4,5,5,1,3,12,0.689319,9.56278,9.22951,9.56278,DB1-Zn2O8-irmof20_A-nott112_No13.cif,True,41.32305,0.9994877049180328,0.9999283179814343,0.9963119601447977,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB15-sxc_N123_E180_opt,0.748652994632721,2.1299148,3.1577485,1.7887075683525009,2.9240575,2.389718180000782,0.4732926543951032,0.4926666666666666,0.564,0.3954333333333333,19,4,5,5,2,4,19,1.26546,6.69517,3.24705,6.54642,DB15-sxc_N123_E180_opt.cif,True,41.21476666666667,0.9994023224043715,0.966298698971363,0.9961220027955987,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB15-rob_N123_E202_opt,1.5672860145568848,2.170959196799719,3.816039,1.80414424924059,3.5373902,2.422633318192096,0.4954332323074339,0.5106333333333334,0.5920666666666666,0.3576166666666667,21,4,4,5,2,5,21,1.34647,7.04868,2.88087,6.52106,DB15-rob_N123_E202_opt.cif,True,40.87681666666667,0.9993169398907104,0.9917135586538117,0.9963047919429411,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB12-OCUSUB_clean,2.80134391784668,1.8806312,3.0125412355959416,1.6872184,2.632440167717636,2.074044,0.3722164475321765,0.3978,0.3690666666666666,0.7014,9,5,4,5,2,4,9,1.50787,5.00781,3.40979,4.93101,DB12-OCUSUB_clean.cif,True,40.87193333333333,0.9992315573770492,0.9982796315544246,0.9946238486075768,CO2 0.015 bar
CO2_0p015bar_298K_mmolg,DB12-GIDKOU_clean,1.4129600524902344,1.8629718,3.9954214,1.6663200694070872,3.7680502,2.0864604,0.3741977802210614,0.3761333333333333,0.3533666666666666,0.6968166666666666,21,5,3,4,2,4,21,1.74547,4.78674,3.41448,4.67256,DB12-GIDKOU_clean.cif,True,40.662616666666665,0.999146174863388,0.989760223647898,0.9944984050750869,CO2 0.015 bar
