target,bin_index,bin_left,bin_right,bin_center,count,p95_threshold
CH4_5p8bar_298K_mmolg,2,0.18836175600687663,0.37672351201375326,0.28254263401031493,269,6.666360521316528
CH4_5p8bar_298K_mmolg,3,0.37672351201375326,0.5650852680206299,0.47090439001719153,238,6.666360521316528
CH4_5p8bar_298K_mmolg,4,0.5650852680206299,0.7534470240275065,0.6592661460240682,274,6.666360521316528
CH4_5p8bar_298K_mmolg,5,0.7534470240275065,0.9418087800343832,0.8476279020309448,432,6.666360521316528
CH4_5p8bar_298K_mmolg,6,0.9418087800343832,1.1301705360412597,1.0359896580378214,494,6.666360521316528
CH4_5p8bar_298K_mmolg,7,1.1301705360412597,1.3185322920481364,1.224351414044698,667,6.666360521316528
CH4_5p8bar_298K_mmolg,8,1.3185322920481364,1.506894048055013,1.4127131700515747,968,6.666360521316528
CH4_5p8bar_298K_mmolg,9,1.506894048055013,1.6952558040618897,1.6010749260584514,1669,6.666360521316528
CH4_5p8bar_298K_mmolg,10,1.6952558040618897,1.8836175600687664,1.789436682065328,2686,6.666360521316528
CH4_5p8bar_298K_mmolg,11,1.8836175600687664,2.071979316075643,1.9777984380722047,4049,6.666360521316528
CH4_5p8bar_298K_mmolg,12,2.071979316075643,2.2603410720825194,2.1661601940790813,5942,6.666360521316528
CH4_5p8bar_298K_mmolg,13,2.2603410720825194,2.448702828089396,2.3545219500859575,8025,6.666360521316528
CH4_5p8bar_298K_mmolg,14,2.448702828089396,2.6370645840962728,2.5428837060928347,10080,6.666360521316528
CH4_5p8bar_298K_mmolg,15,2.6370645840962728,2.8254263401031494,2.731245462099711,12153,6.666360521316528
CH4_5p8bar_298K_mmolg,16,2.8254263401031494,3.013788096110026,2.919607218106588,13785,6.666360521316528
CH4_5p8bar_298K_mmolg,17,3.013788096110026,3.2021498521169027,3.107968974113464,14698,6.666360521316528
CH4_5p8bar_298K_mmolg,18,3.2021498521169027,3.3905116081237794,3.2963307301203413,14822,6.666360521316528
CH4_5p8bar_298K_mmolg,19,3.3905116081237794,3.578873364130656,3.4846924861272175,14293,6.666360521316528
CH4_5p8bar_298K_mmolg,20,3.578873364130656,3.7672351201375327,3.6730542421340946,13780,6.666360521316528
CH4_5p8bar_298K_mmolg,21,3.7672351201375327,3.9555968761444094,3.861415998140971,13202,6.666360521316528
CH4_5p8bar_298K_mmolg,22,3.9555968761444094,4.143958632151286,4.049777754147847,12691,6.666360521316528
CH4_5p8bar_298K_mmolg,23,4.143958632151286,4.332320388158163,4.238139510154724,12303,6.666360521316528
CH4_5p8bar_298K_mmolg,24,4.332320388158163,4.520682144165039,4.426501266161601,11925,6.666360521316528
CH4_5p8bar_298K_mmolg,25,4.520682144165039,4.709043900171916,4.614863022168477,11453,6.666360521316528
CH4_5p8bar_298K_mmolg,26,4.709043900171916,4.897405656178792,4.803224778175354,11043,6.666360521316528
CH4_5p8bar_298K_mmolg,27,4.897405656178792,5.085767412185669,4.991586534182231,10675,6.666360521316528
CH4_5p8bar_298K_mmolg,28,5.085767412185669,5.2741291681925455,5.179948290189108,10195,6.666360521316528
CH4_5p8bar_298K_mmolg,29,5.2741291681925455,5.462490924199423,5.368310046195984,9330,6.666360521316528
CH4_5p8bar_298K_mmolg,30,5.462490924199423,5.650852680206299,5.55667180220286,8596,6.666360521316528
CH4_5p8bar_298K_mmolg,31,5.650852680206299,5.839214436213176,5.745033558209737,8032,6.666360521316528
CH4_5p8bar_298K_mmolg,32,5.839214436213176,6.027576192220052,5.9333953142166145,7146,6.666360521316528
CH4_5p8bar_298K_mmolg,33,6.027576192220052,6.215937948226928,6.12175707022349,6280,6.666360521316528
CH4_5p8bar_298K_mmolg,34,6.215937948226928,6.4042997042338055,6.310118826230367,5566,6.666360521316528
CH4_5p8bar_298K_mmolg,35,6.4042997042338055,6.592661460240682,6.498480582237244,4755,6.666360521316528
CH4_5p8bar_298K_mmolg,36,6.592661460240682,6.781023216247559,6.68684233824412,3788,6.666360521316528
CH4_5p8bar_298K_mmolg,37,6.781023216247559,6.969384972254435,6.875204094250996,3008,6.666360521316528
CH4_5p8bar_298K_mmolg,38,6.969384972254435,7.157746728261312,7.0635658502578735,2338,6.666360521316528
CH4_5p8bar_298K_mmolg,39,7.157746728261312,7.346108484268188,7.251927606264751,1731,6.666360521316528
CH4_5p8bar_298K_mmolg,40,7.346108484268188,7.534470240275065,7.440289362271627,1374,6.666360521316528
CH4_5p8bar_298K_mmolg,41,7.534470240275065,7.722831996281942,7.628651118278503,942,6.666360521316528
CH4_5p8bar_298K_mmolg,42,7.722831996281942,7.911193752288819,7.81701287428538,712,6.666360521316528
CH4_5p8bar_298K_mmolg,43,7.911193752288819,8.099555508295696,8.005374630292257,554,6.666360521316528
CH4_5p8bar_298K_mmolg,44,8.099555508295696,8.287917264302571,8.193736386299133,367,6.666360521316528
CH4_5p8bar_298K_mmolg,45,8.287917264302571,8.476279020309448,8.38209814230601,229,6.666360521316528
CH4_5p8bar_298K_mmolg,46,8.476279020309448,8.664640776316325,8.570459898312887,178,6.666360521316528
CH4_5p8bar_298K_mmolg,47,8.664640776316325,8.853002532323202,8.758821654319764,125,6.666360521316528
CH4_5p8bar_298K_mmolg,48,8.853002532323202,9.041364288330078,8.947183410326641,69,6.666360521316528
CH4_5p8bar_298K_mmolg,49,9.041364288330078,9.229726044336955,9.135545166333516,59,6.666360521316528
CH4_5p8bar_298K_mmolg,50,9.229726044336955,9.418087800343832,9.323906922340393,29,6.666360521316528
CH4_5p8bar_298K_mmolg,51,9.418087800343832,9.606449556350707,9.512268678347269,16,6.666360521316528
CH4_5p8bar_298K_mmolg,52,9.606449556350707,9.794811312357584,9.700630434354146,14,6.666360521316528
CH4_5p8bar_298K_mmolg,53,9.794811312357584,9.983173068364461,9.888992190361023,9,6.666360521316528
CH4_5p8bar_298K_mmolg,54,9.983173068364461,10.171534824371339,10.0773539463679,2,6.666360521316528
CH4_5p8bar_298K_mmolg,55,10.171534824371339,10.359896580378214,10.265715702374777,1,6.666360521316528
CH4_5p8bar_298K_mmolg,56,10.359896580378214,10.548258336385091,10.454077458381652,3,6.666360521316528
CH4_5p8bar_298K_mmolg,57,10.548258336385091,10.736620092391968,10.64243921438853,0,6.666360521316528
CH4_5p8bar_298K_mmolg,58,10.736620092391968,10.924981848398845,10.830800970395407,0,6.666360521316528
CH4_5p8bar_298K_mmolg,59,10.924981848398845,11.11334360440572,11.019162726402282,0,6.666360521316528
CH4_5p8bar_298K_mmolg,60,11.11334360440572,11.301705360412598,11.207524482409159,1,6.666360521316528
CH4_65bar_298K_mmolg,1,0.0,1.052430025736491,0.5262150128682455,1079,27.47998533248901
CH4_65bar_298K_mmolg,2,1.052430025736491,2.104860051472982,1.5786450386047364,1606,27.47998533248901
CH4_65bar_298K_mmolg,3,2.104860051472982,3.1572900772094727,2.6310750643412275,2586,27.47998533248901
CH4_65bar_298K_mmolg,4,3.1572900772094727,4.209720102945964,3.683505090077718,3823,27.47998533248901
CH4_65bar_298K_mmolg,5,4.209720102945964,5.262150128682455,4.735935115814209,5270,27.47998533248901
CH4_65bar_298K_mmolg,6,5.262150128682455,6.3145801544189455,5.788365141550701,6822,27.47998533248901
CH4_65bar_298K_mmolg,7,6.3145801544189455,7.367010180155436,6.84079516728719,8582,27.47998533248901
CH4_65bar_298K_mmolg,8,7.367010180155436,8.419440205891927,7.893225193023682,10210,27.47998533248901
CH4_65bar_298K_mmolg,9,8.419440205891927,9.471870231628419,8.945655218760173,12470,27.47998533248901
CH4_65bar_298K_mmolg,10,9.471870231628419,10.52430025736491,9.998085244496664,13913,27.47998533248901
CH4_65bar_298K_mmolg,11,10.52430025736491,11.5767302831014,11.050515270233156,15353,27.47998533248901
CH4_65bar_298K_mmolg,12,11.5767302831014,12.629160308837891,12.102945295969645,16478,27.47998533248901
CH4_65bar_298K_mmolg,13,12.629160308837891,13.681590334574382,13.155375321706137,16845,27.47998533248901
CH4_65bar_298K_mmolg,14,13.681590334574382,14.734020360310872,14.207805347442626,17218,27.47998533248901
CH4_65bar_298K_mmolg,15,14.734020360310872,15.786450386047363,15.260235373179118,17383,27.47998533248901
CH4_65bar_298K_mmolg,16,15.786450386047363,16.838880411783855,16.31266539891561,17268,27.47998533248901
CH4_65bar_298K_mmolg,17,16.838880411783855,17.891310437520346,17.3650954246521,16625,27.47998533248901
CH4_65bar_298K_mmolg,18,17.891310437520346,18.943740463256837,18.41752545038859,14888,27.47998533248901
CH4_65bar_298K_mmolg,19,18.943740463256837,19.99617048899333,19.469955476125083,12455,27.47998533248901
CH4_65bar_298K_mmolg,20,19.99617048899333,21.04860051472982,20.522385501861574,10796,27.47998533248901
CH4_65bar_298K_mmolg,21,21.04860051472982,22.101030540466308,21.574815527598062,9586,27.47998533248901
CH4_65bar_298K_mmolg,22,22.101030540466308,23.1534605662028,22.627245553334554,8656,27.47998533248901
CH4_65bar_298K_mmolg,23,23.1534605662028,24.20589059193929,23.679675579071045,7653,27.47998533248901
CH4_65bar_298K_mmolg,24,24.20589059193929,25.258320617675782,24.732105604807536,6777,27.47998533248901
CH4_65bar_298K_mmolg,25,25.258320617675782,26.310750643412273,25.784535630544028,5572,27.47998533248901
CH4_65bar_298K_mmolg,26,26.310750643412273,27.363180669148765,26.83696565628052,4682,27.47998533248901
CH4_65bar_298K_mmolg,27,27.363180669148765,28.415610694885256,27.88939568201701,3744,27.47998533248901
CH4_65bar_298K_mmolg,28,28.415610694885256,29.468040720621744,28.9418257077535,2936,27.47998533248901
CH4_65bar_298K_mmolg,29,29.468040720621744,30.520470746358235,29.99425573348999,2198,27.47998533248901
CH4_65bar_298K_mmolg,30,30.520470746358235,31.572900772094727,31.04668575922648,1519,27.47998533248901
CH4_65bar_298K_mmolg,31,31.572900772094727,32.62533079783122,32.099115784962976,1118,27.47998533248901
CH4_65bar_298K_mmolg,32,32.62533079783122,33.67776082356771,33.15154581069946,783,27.47998533248901
CH4_65bar_298K_mmolg,33,33.67776082356771,34.7301908493042,34.20397583643596,574,27.47998533248901
CH4_65bar_298K_mmolg,34,34.7301908493042,35.78262087504069,35.25640586217244,437,27.47998533248901
CH4_65bar_298K_mmolg,35,35.78262087504069,36.83505090077718,36.30883588790894,342,27.47998533248901
CH4_65bar_298K_mmolg,36,36.83505090077718,37.887480926513675,37.361265913645425,218,27.47998533248901
CH4_65bar_298K_mmolg,37,37.887480926513675,38.939910952250166,38.413695939381924,115,27.47998533248901
CH4_65bar_298K_mmolg,38,38.939910952250166,39.99234097798666,39.46612596511841,103,27.47998533248901
CH4_65bar_298K_mmolg,39,39.99234097798666,41.04477100372315,40.51855599085491,82,27.47998533248901
CH4_65bar_298K_mmolg,40,41.04477100372315,42.09720102945964,41.57098601659139,58,27.47998533248901
CH4_65bar_298K_mmolg,41,42.09720102945964,43.149631055196124,42.62341604232788,43,27.47998533248901
CH4_65bar_298K_mmolg,42,43.149631055196124,44.202061080932616,43.675846068064374,37,27.47998533248901
CH4_65bar_298K_mmolg,43,44.202061080932616,45.25449110666911,44.72827609380086,32,27.47998533248901
CH4_65bar_298K_mmolg,44,45.25449110666911,46.3069211324056,45.780706119537356,18,27.47998533248901
CH4_65bar_298K_mmolg,45,46.3069211324056,47.35935115814209,46.83313614527384,17,27.47998533248901
CH4_65bar_298K_mmolg,46,47.35935115814209,48.41178118387858,47.88556617101034,14,27.47998533248901
CH4_65bar_298K_mmolg,47,48.41178118387858,49.46421120961507,48.93799619674682,7,27.47998533248901
CH4_65bar_298K_mmolg,48,49.46421120961507,50.516641235351564,49.99042622248332,3,27.47998533248901
CH4_65bar_298K_mmolg,49,50.516641235351564,51.569071261088055,51.042856248219806,3,27.47998533248901
CH4_65bar_298K_mmolg,50,51.569071261088055,52.62150128682455,52.095286273956305,6,27.47998533248901
CH4_65bar_298K_mmolg,51,52.62150128682455,53.67393131256104,53.14771629969279,1,27.47998533248901
CH4_65bar_298K_mmolg,52,53.67393131256104,54.72636133829753,54.20014632542929,1,27.47998533248901
CH4_65bar_298K_mmolg,53,54.72636133829753,55.77879136403402,55.25257635116577,1,27.47998533248901
CH4_65bar_298K_mmolg,54,55.77879136403402,56.83122138977051,56.30500637690227,1,27.47998533248901
CH4_65bar_298K_mmolg,55,56.83122138977051,57.883651415507,57.357436402638754,0,27.47998533248901
CH4_65bar_298K_mmolg,56,57.883651415507,58.93608144124349,58.409866428375246,0,27.47998533248901
CH4_65bar_298K_mmolg,57,58.93608144124349,59.98851146697998,59.46229645411174,2,27.47998533248901
CH4_65bar_298K_mmolg,58,59.98851146697998,61.04094149271647,60.51472647984822,0,27.47998533248901
CH4_65bar_298K_mmolg,59,61.04094149271647,62.09337151845296,61.56715650558472,0,27.47998533248901
CH4_65bar_298K_mmolg,60,62.09337151845296,63.14580154418945,62.619586531321204,1,27.47998533248901
